show_name,spotify_plays,category,genre
The Joe Rogan Experience,"536,243,172",Top 25,Interview & Talk
Crime Junkie,"82,113,099",Top 25,True Crime
Armchair Expert with Dax Shepard,"68,659,308",Top 25,
The Daily,"67,265,364",Top 25,News
This Past Weekend w/ Theo Von,"66,189,292",Top 25,Comedy & Interview
The Tucker Carlson Show,"59,652,952",Top 25,News & Politics
Distractible,"58,583,023",Top 25,
Pardon My Take,"56,647,993",Top 25,Sports
Matt and Shane's Secret Podcast,"55,004,347",Top 25,
Shawn Ryan Show,"51,797,592",Top 25,Interview & Military
Morbid,"50,270,144",Top 25,True Crime
Last Podcast On The Left,"46,323,824",Top 25,True Crime & Comedy
Dateline NBC,"39,775,810",Top 25,True Crime
Call Her Daddy,"37,708,420",Top 25,Relationships & Pop Culture
Good Hang with Amy Poehler,"37,219,121",Top 25,Comedy & Interview
The Mel Robbins Podcast,"35,481,882",Top 25,
Smosh Reads Reddit Stories,"35,391,016",Top 25,Comedy & Entertainment
Bad Friends,"35,347,113",Top 25,
Rotten Mango,"34,905,608",Top 25,True Crime
The Ben Shapiro Show,"33,786,483",Top 25,News & Politics
The Bill Simmons Podcast,"33,299,295",Top 25,
"MrBallen Podcast: Strange, Dark & Mysterious Stories","30,551,959",Top 25,True Crime
The Megyn Kelly Show,"29,268,578",Top 25,
The Toast,"27,201,714",Top 25,
Candace,"26,760,965",Top 25,
Two Hot Takes,"24,820,233",Honorable Mention,
Huberman Lab,"24,341,762",Honorable Mention,
"2 Bears, 1 Cave with Tom Segura & Bert Kreischer","18,147,120",Honorable Mention,Comedy
"All-In with Chamath, Jason, Sacks & Friedberg","17,248,054",Honorable Mention,
