show_name,genre,Publisher,Customers,Total Plays,Average Completion Rate,Total Follows,refined_genre
"MrBallen Podcast: Strange, Dark & Mysterious Stories",True Crime,MrBallen,1230051.0,59839088.0,0.793355891,71000.0,
Morbid,True Crime,Morbid Network | Wondery,578550.0,40391034.0,0.6754429,25932.0,True Crime
NPR News Now,News,NPR,1541631.0,35630502.0,0.817649488,23119.0,
Dateline NBC,True Crime,NBC News,979461.0,27508323.0,0.695503085,26784.0,True Crime
Crime Junkie,True Crime,audiochuck,771061.0,24625377.0,0.696849755,35744.0,True Crime
48 Hours,True Crime,CBS News,327861.0,19177889.0,0.723540441,15566.0,True Crime
Small Town Murder,Comedy,James Pietragallo & Jimmie Whisman,114952.0,18156698.0,0.700988803,8932.0,
RedHanded,True Crime,Wondery | RedHanded,282759.0,17350368.0,0.684997649,13651.0,
20/20,True Crime,ABC News,300055.0,15521889.0,0.653381238,16433.0,True Crime
安住紳一郎の日曜天国,Leisure,TBS RADIO,674930.0,15022086.0,0.716612072,43507.0,
Die Nervigen,Comedy,Julia Beautx & Joey's Jungle,286723.0,14879797.0,0.794575686,10987.0,
MrBallen’s Medical Mysteries,True Crime,Wondery,267166.0,14268994.0,0.83405911,27951.0,
La Corneta,Comedy,La Corneta,195515.0,13705307.0,0.648675462,7406.0,
Dick & Doof,Comedy,"RTL+ / laserluca, selfiesandra",228319.0,13360390.0,0.836341326,18145.0,
SmartLess,Comedy,SiriusXM | SmartLess LLC,634222.0,13069294.0,0.599206203,18704.0,Comedy
The Daily,News,The New York Times,623870.0,12208493.0,0.636648462,16442.0,News & Politics
Äffchen mit Käffchen,Comedy,"Paluten, Denno, Malte",102346.0,9373011.0,0.864837826,5627.0,
La Corneta Extendida,Comedy,Amazon Music,586227.0,9360335.0,0.57271633,14030.0,
Mordlust,True Crime,Paulina Krasa & Laura Wohlers,196236.0,9136244.0,0.666208518,11407.0,
Wow in the World,Kids & Family,Tinkercast | Wondery,67489.0,9063565.0,0.903727943,2037.0,
Die Drei Rabauken,Comedy,"Benx, AwesomeElina und Ebru",81150.0,8691013.0,0.863901568,5002.0,
MORD AUF EX,True Crime,Leonie Bartsch & Linn Schütze,156272.0,8518211.0,0.645054146,9960.0,
Snapped: Women Who Murder,True Crime,Snapped: Women Who Murder,142436.0,8109264.0,0.806286138,10193.0,
Pardon My Take,Sports,Barstool Sports,45221.0,7696554.0,0.567206306,3029.0,Sports
My Favorite Murder with Karen Kilgariff and Georgia Hardstark,True Crime,iHeartPodcasts,88010.0,7665296.0,0.711999671,4867.0,True Crime
Up First from NPR,News,NPR,358479.0,7038361.0,0.708212458,9666.0,
Kottbruder - GermanLetsPlay & Paluten,Comedy,"GermanLetsPlay, Paluten",116896.0,6894854.0,0.840890595,4248.0,
Relatos de la Noche,Fiction,Sonoro,405339.0,6887218.0,0.72217359,13293.0,
Hobbylos,Comedy,"Spotify, Rezo & Julien Bam",91291.0,6131327.0,0.788137992,6499.0,
Kurt Krömer - Feelings,Comedy,Wondery,304386.0,6074309.0,0.678333779,9263.0,
