normalized_name,final_genre,platform_genre,research_genre,tavily_genre,source_summary
2 bears 1 cave with tom segura bert kreischer,Comedy,,Comedy,,Research
"2 bears, 1 cave with tom segura & bert kreischer",Comedy,,,Comedy,Tavily research
2020,True Crime,True Crime,True Crime,,Amazon platform + Amazon match
48 hours,True Crime,True Crime,True Crime,True Crime,Amazon platform + Amazon match + Tavily research
a closer look late night with seth meyers,Comedy,,Comedy,,Internet Research
all videos,Education,,Education,,Internet Research
"all-in with chamath, jason, sacks & friedberg",Business,,,Business,Tavily research
allin with chamath jason sacks friedberg,Business,,,Business,Tavily research
are you a charlotte,Comedy,,Comedy,,Research
armchair expert with dax shepard,Interview & Talk,,,Interview & Talk,Tavily research
bad friends,Comedy,,,Comedy,Tavily research
bff with dave portnoy josh richards and bri chickenfry,Entertainment,,Entertainment,,Research
boyscast,Comedy,,Comedy,,Research
brandon walker,Sports,,Sports,,Research
breaking points,News & Politics,,News & Politics,News & Politics,Internet Research + Tavily research
brian tyler cohen,News & Politics,,News & Politics,News & Politics,Research + Tavily research
bulwark super feed,News & Politics,,News & Politics,,Internet Research
bulwark takes,News & Politics,,News & Politics,,Internet Research
call her daddy,Interview & Talk,,Entertainment,Interview & Talk,Research + Tavily research
candace,News & Politics,,,News & Politics,Tavily research
caso cerrado - pleitos familiares con escándalo,Entertainment,,,Entertainment,Tavily research
caso cerrado pleitos familiares con escándalo,Entertainment,,Entertainment,,Internet Research
club shay shay,Sports,,Sports,,Research
conan o'brien needs a friend,Interview & Talk,,,Interview & Talk,Tavily research
conan obrien needs a friend,Comedy,,Comedy,,Internet Research
crime junkie,True Crime,True Crime,True Crime,True Crime,Amazon platform + Amazon match + Tavily research
crook county,True Crime,,True Crime,True Crime,Internet Research + Tavily research
dateline nbc,True Crime,True Crime,True Crime,True Crime,Amazon platform + Amazon match + Tavily research
dick doof,Comedy,Comedy,,,Amazon platform
die drei rabauken,Comedy,Comedy,,,Amazon platform
die nervigen,Comedy,Comedy,,,Amazon platform
direito estatal podcast,Education,,Education,,Internet Research
distractible,Comedy,,,Comedy,Tavily research
dr insanity podcasts,Comedy,,Comedy,,Research
farron balanced,News & Politics,,News & Politics,News & Politics,Internet Research + Tavily research
financial audit,Business,,Business,Business,Internet Research + Tavily research
flagrant,Comedy,,Comedy,,Research
fresh and fit podcast,Entertainment,,Entertainment,,Research
full send podcast,Entertainment,,Entertainment,,Research
full surahs,Education,,Education,Education,Internet Research + Tavily research
good hang with amy poehler,Comedy,,Comedy,,Internet Research
good mythical morning with rhett & link,Entertainment,,,Entertainment,Tavily research
good mythical morning with rhett link,Comedy,,Comedy,,Research
hidden brain,Education,,Education,Education,Internet Research + Tavily research
hobbylos,Comedy,Comedy,,,Amazon platform
huberman lab,Education,,,Education,Tavily research
ihip news,News & Politics,,News & Politics,,Research
impaulsive with logan paul,Entertainment,,Entertainment,,Research
