rank,show_name,composite_score,genre,country,consumption_score,platform_reach_score,platform_count_score,genre_rank_score,total_consumption,platforms_present,spotify_plays,youtube_views,amazon_plays,apple_plays
1,the meidastouch,95.0,Other,US,100.0,100.0,75.0,100.0,1040103096.0,3,19009837.0,1002173119.0,0.0,18920140.0
2,the joe rogan experience,93.72992289854253,Other,US,97.58805092529019,100.0,75.0,99.35897435897436,1015016339.0,3,536243172.0,395225451.0,0.0,83547716.0
3,the daily,53.502205631354066,News & Politics,Unknown,17.004411262708135,100.0,75.0,100.0,176863408.0,3,67265364.0,0.0,12565208.0,97032836.0
4,48 hours,50.70292639289033,True Crime,US,29.37866670863174,31.919817044724187,100.0,96.29629629629629,305568422.0,4,15750645.0,243134227.0,19609351.0,27074199.0
5,rotten mango,45.345188500248646,True Crime,US,29.827036492159426,27.158351270844655,75.0,100.0,310231930.0,3,34905608.0,272173696.0,3152626.0,0.0
6,crime junkie,45.278665943663555,True Crime,Unknown,16.32200467942843,64.2920217234504,75.0,92.5925925925926,169765676.0,3,82113099.0,0.0,25268205.0,62384372.0
7,shawn ryan,44.79096199898254,Society & Culture,US,18.95803663678355,26.55971840295382,100.0,100.0,197183126.0,4,51797592.0,116621019.0,2992867.0,25771648.0
8,dateline nbc,43.205729975626696,True Crime,Unknown,12.604532618370362,65.07287388776311,75.0,88.88888888888889,131100134.0,3,39775810.0,0.0,28182269.0,63142055.0
9,morbid,42.88985072798228,True Crime,Unknown,12.44348877507812,65.74793910962347,75.0,85.18518518518519,129425112.0,3,50270144.0,0.0,40391034.0,38763934.0
10,mrballen strange dark mysterious stories,42.19970072723124,True Crime,Unknown,8.84384589890693,100.0,50.0,77.77777777777779,91985115.0,2,30551959.0,0.0,61433156.0,0.0
11,pardon my take,41.875815016980916,Sports,US,11.418896401400579,55.83183408140312,75.0,100.0,118768295.0,3,56647993.0,0.0,7945090.0,54175212.0
12,conan obrien needs a friend,41.05886281951149,Comedy,US,13.873010623169993,20.61178753963246,100.0,100.0,144293613.0,4,19653685.0,99500107.0,5139619.0,20000202.0
13,good mythical morning,40.82139180121527,Other,US,36.67427050904577,38.06230837448754,25.0,98.71794871794873,381450223.0,1,0.0,381450223.0,0.0,0.0
14,김어준의 겸손은힘들다 뉴스공장,40.52823739128954,Other,KR,36.350554137760206,37.72634007358563,25.0,98.07692307692307,378083239.0,1,0.0,378083239.0,0.0,0.0
15,this past weekend,39.25477546623696,Other,US,21.44222489652122,20.87344329500995,75.0,93.58974358974359,223021245.0,3,66189292.0,136577859.0,0.0,20254094.0
16,the tucker carlson,37.94886192706619,Other,US,19.550319654081676,21.63774126935752,75.0,88.46153846153845,203343480.0,3,59652952.0,122694814.0,0.0,20995714.0
17,the megyn kelly,36.75201757313796,News & Politics,US,7.379634893424066,43.64433396546299,75.0,93.33333333333333,76755811.0,3,29268578.0,0.0,5137898.0,42349335.0
18,morbid,35.700634391139886,True Crime,Unknown,9.125254444968983,39.94929510253622,75.0,81.48148148148148,94912054.0,3,50270144.0,0.0,5877976.0,38763934.0
19,the diary of a ceo,34.9652738232483,Other,GB,28.579076357253726,29.66072950515848,25.0,97.43589743589743,297251858.0,1,0.0,297251858.0,0.0,0.0
20,víctor y alba en vivo,34.88521027652186,Other,CA,28.556518881855155,29.637318280535517,25.0,96.7948717948718,297017237.0,1,0.0,297017237.0,0.0,0.0
21,the mel robbins,34.5423658694771,Education,US,6.790954403620004,30.73444333833549,75.0,100.0,70632927.0,3,35481882.0,0.0,5328543.0,29822502.0
22,the ben shapiro,34.40682088826905,News & Politics,US,6.901630355304701,36.44669521975015,75.0,86.66666666666667,71784071.0,3,33786483.0,0.0,2632326.0,35365262.0
23,smartless,33.96919561121993,Comedy,US,6.724995365267136,31.063792673234865,75.0,93.93939393939394,69946885.0,3,26427676.0,0.0,13377130.0,30142079.0
24,the why files operation,33.87724271535427,Other,US,20.92698635712935,20.914901530101808,50.0,92.3076923076923,217662233.0,2,8058712.0,209603521.0,0.0,0.0
25,pod save america,33.83801112837506,News & Politics,US,6.050693940055343,39.063320791736935,75.0,80.0,62933455.0,3,21702593.0,0.0,3326614.0,37904248.0
26,armchair expert,33.6650831288285,Comedy,US,9.11199008679809,22.060591942298792,75.0,96.96969696969697,94774091.0,3,68659308.0,0.0,4708765.0,21406018.0
27,rita panahi,33.43336938712177,Other,AU,26.595244073766317,27.60181367426998,25.0,96.15384615384616,276617957.0,1,0.0,276617957.0,0.0,0.0
28,close the door,32.80199018982155,Other,ID,25.79351845328994,26.769744559472663,25.0,95.51282051282051,268279184.0,1,0.0,268279184.0,0.0,0.0
29,my favorite murder,31.29308490644519,True Crime,US,6.013298993199036,29.395140012191334,75.0,74.07407407407408,62544509.0,3,26173298.0,0.0,7848273.0,28522938.0
30,the ramsey,30.768226120669308,Business,US,3.8838085527629276,19.131609221439223,75.0,100.0,40395613.0,3,17393766.0,0.0,4437904.0,18563943.0
31,smosh reads reddit stories,30.17598292290562,Other,US,17.64467192779128,14.781055307870417,50.0,83.97435897435898,183522779.0,2,35391016.0,148131763.0,0.0,0.0
32,breaking points,30.086432203344646,Other,US,17.13429781003171,16.250262645490096,50.0,82.6923076923077,178214362.0,2,15358598.0,162855764.0,0.0,0.0
33,2020,29.87664049838551,True Crime,Unknown,5.29871271530183,25.95123551848777,75.0,70.37037037037037,55112075.0,3,15097370.0,0.0,15942663.0,24072042.0
34,figuring out,29.868589954444005,Other,IN,21.738372654550776,22.561120699945654,25.0,94.87179487179486,226101487.0,1,0.0,226101487.0,0.0,0.0
35,stuff you should know,29.798862727227714,Society & Culture,US,4.3282361309306205,21.507056642145344,75.0,83.33333333333334,45018118.0,3,20202353.0,0.0,3946858.0,20868907.0
36,podhub,29.63386254659139,Other,ID,21.497230501465598,22.310851863908354,25.0,94.23076923076923,223593360.0,1,0.0,223593360.0,0.0,0.0
